invoice_date,revenue
2017-11-01,41152.75
2017-12-01,157155.01
2018-01-01,183680.394
2018-02-01,116345.374
2018-03-01,257428.441
2018-04-01,116642.342
2018-05-01,155748.79
2018-06-01,229099.44
2018-07-01,108378.73
2018-08-01,156605.0
2018-09-01,222500.981
2018-10-01,279360.77999999997
2018-11-01,335170.912
2018-12-01,365051.56
2019-01-01,188110.66
2019-02-01,128476.94
2019-03-01,161572.99
2019-04-01,152566.451
2019-05-01,176966.13
2019-06-01,189927.25
2019-07-01,192256.441
